Crop,LMOD Template,Cover Crop,change name,Yield Adjusted,Land Use - Fieldprint,Energy Use - Total Energy,Energy Use - Fieldprint,Energy Use - Application - Fieldprint,Energy Use - Management - Fieldprint,Energy Use - Manure Loading - Fieldprint,Energy Use - Post Harvest - Fieldprint,Energy Use - Seed - Fieldprint,Energy Use - Transportation - Fieldprint,Greenhouse Gas - Total Greenhouse,Greenhouse Gas - Fieldprint,Greenhouse Gas - Application - Fieldprint,Greenhouse Gas - Irrigation - Fieldprint,Greenhouse Gas - Management - Fieldprint,Greenhouse Gas - Manure Loading - Fieldprint,Greenhouse Gas - Post Harvest - Fieldprint,Greenhouse Gas - Residue Burning - Fieldprint,Greenhouse Gas - Rice - Fieldprint,Greenhouse Gas - Seed - Fieldprint,Greenhouse Gas - Transportation - Fieldprint,Greenhouse Gas - Nitrous Oxide - Fieldprint,Soil Conservation - Fieldprint,Soil Conservation - Water Fieldprint,Soil Conservation - Wind Fieldprint,Soil Carbon - Fieldprint,Water Quality - Fieldprint,Water Quality - Field,Water Quality - Nutrient,Water Quality - Pest,Water Quality - Tillage,Biodiversity - Fieldprint,Nitrogen,Phosphorus,Potassium,changes
Corn grain,FTM Region 08 - Corn grain - Conventional Tillage,False,base,168.0,0.00595238,9881667.45058827,58819.44911064,47764.32162981,3760.42078421,3609.16156783,2448.0,118.28327535,1119.26185345,2849.1221214,16.95906025,6.32795886,0.0,0.6163734,0.59158333,0.48388682,1.74238458,0.0,0.03510371,0.18345905,6.97831049,7.36053623,7.29050016,0.07003606,-0.303,7.11689453,5.9375,3.25,2.0,5,0.6984127,204.0,64.0,99.0,base
Corn grain,FTM Region 08 - Corn grain - Reduced Tillage,False,base,168.0,0.00595238,9777732.8394782,58200.79071118,47764.32162981,3141.76238475,3609.16156783,2448.0,118.28327535,1119.26185345,2832.08612117,16.85765548,6.32795886,0.0,0.51496863,0.59158333,0.48388682,1.74238458,0.0,0.03510371,0.18345905,6.97831049,4.14434033,4.10330009,0.04104024,0.154,8.38769531,6.625,3.25,2.0,10,0.73544974,204.0,64.0,99.0,base
Corn grain,FTM Region 08 - Corn grain - No till,False,base,168.0,0.00595238,9722360.26888679,57871.19207671,47764.32162981,2812.16375027,3609.16156783,2448.0,118.28327535,1119.26185345,2823.0099615,16.80363072,6.32795886,0.0,0.46094387,0.59158333,0.48388682,1.74238458,0.0,0.03510371,0.18345905,6.97831049,2.66471852,2.63260007,0.03211845,0.356,8.415625,6.75,3.25,2.0,10,0.77248677,204.0,64.0,99.0,base
Corn silage,FTM Region 08 - Corn silage - Conventional Tillage,False,base,18.0,0.05555556,8956900.26902136,497605.57050119,390726.53121155,34176.02953168,33685.50796641,0.0,216.42420533,38801.07758621,4382.08548105,243.44919339,49.64583828,0.0,5.60181869,5.52144444,0.0,95.0,0.0,0.07260989,6.35991379,81.24756829,16.98733976,15.71999931,1.26734044,-1.0,6.00380859,5.6875,3.25,2.0,2,0.6984127,176.0,41.0,70.0,base
Corn silage,FTM Region 08 - Corn silage - Reduced Tillage,False,base,18.0,0.05555556,8732596.94162569,485144.27453476,390726.53121155,21714.73356526,33685.50796641,0.0,216.42420533,38801.07758621,4345.31975405,241.406653,49.64583828,0.0,3.5592783,5.52144444,0.0,95.0,0.0,0.07260989,6.35991379,81.24756829,14.07450886,10.72169971,3.35280914,-1.0,7.61962891,5.6875,3.25,2.0,7.5,0.73544974,176.0,41.0,70.0,base
Corn silage,FTM Region 08 - Corn silage - No till,False,base,18.0,0.05555556,8610747.67532428,478374.87085135,390726.53121155,14945.32988185,33685.50796641,0.0,216.42420533,38801.07758621,4325.34734922,240.29707496,49.64583828,0.0,2.44970026,5.52144444,0.0,95.0,0.0,0.07260989,6.35991379,81.24756829,10.85285759,6.775599,4.07725859,-0.536,8.17822266,5.6875,3.25,2.0,10,0.77248677,176.0,41.0,70.0,base
Cotton,FTM Region 08 - Cotton - Conventional Tillage,False,base,881.0,0.00113507,7464194.85030977,8472.41186187,5584.07064699,1671.79472841,688.23966333,249.0,35.38142489,243.92539825,2097.91186095,2.38128475,0.61537276,0.0,0.27402513,0.11281044,0.04081378,0.06310801,0.0,0.00753265,0.039982,1.22763998,22.99554143,22.62350273,0.37203869,-1.0,6.0328125,5.75,3.25,2.0,2,0.6984127,89.0,23.0,44.0,base
Cotton,FTM Region 08 - Cotton - Reduced Tillage,False,base,881.0,0.00113507,6951776.48983689,7890.77921661,5584.07064699,1090.16208315,688.23966333,249.0,35.38142489,243.92539825,2013.92098231,2.2859489,0.61537276,0.0,0.17868929,0.11281044,0.04081378,0.06310801,0.0,0.00753265,0.039982,1.22763998,18.57925079,18.3397007,0.23955009,-1.0,6.14882812,6.0,3.25,2.0,2,0.73544974,89.0,23.0,44.0,base
Cotton,FTM Region 08 - Cotton - No till,False,base,881.0,0.00113507,6609769.43618409,7502.57597751,5584.07064699,701.95884405,688.23966333,249.0,35.38142489,243.92539825,1957.86234906,2.22231822,0.61537276,0.0,0.1150586,0.11281044,0.04081378,0.06310801,0.0,0.00753265,0.039982,1.22763998,3.82640004,3.82640004,0.0,0.208,8.27597656,6.125,3.25,2.0,10,0.77248677,89.0,23.0,44.0,base
Peanuts,FTM Region 08 - Peanuts - Conventional Tillage,False,base,3900.0,0.00025641,6577593.66155131,1686.56247732,990.09735063,253.02220142,155.47157523,209.74770557,57.56034872,20.66329576,1813.06335112,0.46488804,0.09001128,0.0,0.04147306,0.02548359,0.0343799,0.08204041,0.0,0.00961272,0.00338694,0.17850014,21.904723,21.73610115,0.16862185,-1.0,6.14882812,6.0,3.25,2.0,2,0.6984127,17.0,34.0,54.0,base
Peanuts,FTM Region 08 - Peanuts - Reduced Tillage,False,base,3900.0,0.00025641,6263272.89319421,1605.96740851,990.09735063,172.42713261,155.47157523,209.74770557,57.56034872,20.66329576,1761.54279771,0.45167764,0.09001128,0.0,0.02826266,0.02548359,0.0343799,0.08204041,0.0,0.00961272,0.00338694,0.17850014,21.07683443,21.0522995,0.02453493,-1.0,7.13085938,6.0,3.25,2.0,5,0.73544974,17.0,34.0,54.0,base
Peanuts,FTM Region 08 - Peanuts - No till,False,base,3900.0,0.00025641,6149714.70698135,1576.84992487,990.09735063,143.30964897,155.47157523,209.74770557,57.56034872,20.66329576,1742.92939005,0.44690497,0.09001128,0.0,0.02348999,0.02548359,0.0343799,0.08204041,0.0,0.00961272,0.00338694,0.17850014,11.38575353,11.22649956,0.15925397,-0.761,8.24804688,6.0,3.25,2.0,10,0.77248677,17.0,34.0,54.0,base
Sorghum,FTM Region 08 - Sorghum - Conventional Tillage,False,base,81.0,0.01234568,6162987.31187147,76086.26310952,54263.62582568,10500.93807512,7485.66843698,2412.0,97.49820469,1326.53256705,1976.37245317,24.39965992,5.64400268,0.0,1.72121665,1.22698765,0.47677084,2.38664399,0.0,0.02893519,0.21743295,12.69766996,12.2068646,12.1685009,0.0383637,-0.676,6.11982422,5.9375,3.25,2.0,2,0.6984127,93.0,25.0,3.0,base
Sorghum,FTM Region 08 - Sorghum - Reduced Tillage,False,base,81.0,0.01234568,5973180.79984425,73742.97283758,54263.62582568,8157.64780318,7485.66843698,2412.0,97.49820469,1326.53256705,1945.26112511,24.01556945,5.64400268,0.0,1.33712618,1.22698765,0.47677084,2.38664399,0.0,0.02893519,0.21743295,12.69766996,5.38318278,5.36980009,0.01338269,0.14,7.75927734,6.3125,3.25,2.0,7.5,0.73544974,93.0,25.0,3.0,base
Sorghum,FTM Region 08 - Sorghum - No till,False,base,81.0,0.01234568,5768272.67765573,71213.24293402,54263.62582568,5627.91789962,7485.66843698,2412.0,97.49820469,1326.53256705,1911.67448078,23.60091952,5.64400268,0.0,0.92247625,1.22698765,0.47677084,2.38664399,0.0,0.02893519,0.21743295,12.69766996,2.77504359,2.7572,0.01784358,0.597,8.40166016,6.6875,3.25,2.0,10,0.77248677,93.0,25.0,3.0,base
